date,plant_energy,humidity,temperature,month,predicted_plant_energy,saving
2024-09-02,51857.0,99,299.45,9,54878.87514851552,[5.50644513]
2024-09-03,52817.5,96,299.49,9,54878.87514851552,[3.75622704]
2024-09-04,50493.5,92,300.22,9,55039.56811133287,[8.2838216]
2024-09-05,49655.5,87,300.82,9,56083.3184616338,[11.71273727]
2024-09-06,52470.0,86,300.89,9,56083.3184616338,[6.58417005]
2024-09-07,51133.25,87,301.31,9,57881.69062624213,[12.2969733]
2024-09-08,52643.0,83,301.56,9,57881.69062624213,[9.54591473]
2024-09-09,51884.25,85,301.28,9,57881.69062624213,[10.92850502]
2024-09-10,54162.0,86,301.52,9,57881.69062624213,[6.77800085]
2024-09-11,50899.75,89,300.97,9,56797.266823002654,[10.74642439]
2024-09-12,52486.25,92,300.3,9,55469.99179706458,[5.43695874]
2024-09-13,54388.75,93,300.44,9,55469.99179706458,[1.97023316]
2024-09-14,53086.75,93,300.04,9,55039.56811133287,[3.55841497]
2024-09-15,49565.25,89,300.1,9,55039.56811133287,[9.9752739]
2024-09-16,51222.5,85,300.46,9,55617.179028761624,[8.0079612]
2024-09-17,51991.0,83,300.7,9,56083.3184616338,[7.45700135]
2024-09-18,51007.75,87,300.35,9,55617.179028761624,[8.39927753]
2024-09-19,51717.5,97,299.39,9,54878.87514851552,[5.7606413]
2024-09-20,53508.25,86,300.63,9,56083.3184616338,[4.69227632]
2024-09-21,51721.5,92,300.5,9,55469.99179706458,[6.8304822]
2024-09-22,48999.75,92,300.77,9,55934.89762237327,[12.63718982]
2024-09-23,50379.0,92,300.51,9,55469.99179706458,[9.27677869]
2024-09-24,49538.25,95,300.37,9,55308.04217363559,[10.5136852]
2024-09-25,50508.5,97,299.28,9,54878.87514851552,[7.9636748]
2024-09-26,51341.0,94,300.19,9,55039.56811133287,[6.73951152]
2024-09-27,52284.75,93,299.83,9,55039.56811133287,[5.01981519]
2024-09-28,50559.75,94,300.67,9,55934.89762237327,[9.79456596]
2024-09-29,51287.0,89,301.84,9,57881.69062624213,[12.01681086]
2024-09-30,56882.0,89,301.35,9,57881.69062624213,[1.82163104]
2024-10-01,55510.5,95,300.14,10,54750.122024495955,[-1.38555678]
2024-10-02,54043.5,95,300.2,10,54750.122024495955,[1.28760297]
2024-10-03,50382.0,95,299.68,10,54750.122024495955,[7.95956917]
2024-10-04,50574.0,96,298.66,10,53751.994950324064,[5.79092582]
2024-10-05,50618.0,96,299.34,10,54750.122024495955,[7.5295312]
2024-10-06,49065.0,94,299.96,10,54910.43798029712,[10.65152659]
2024-10-07,53637.0,91,299.85,10,54910.43798029712,[2.32045204]
2024-10-08,52558.0,88,300.21,10,54910.43798029712,[4.28660022]
2024-10-09,50754.0,92,299.68,10,54910.43798029712,[7.5738396]
2024-10-10,51312.0,92,300.22,10,54910.43798029712,[6.55705492]
2024-10-11,51956.0,95,299.79,10,54750.122024495955,[5.09143458]
2024-10-12,51162.0,93,300.16,10,54910.43798029712,[6.83038413]
2024-10-13,48860.0,94,299.86,10,54910.43798029712,[11.02507652]
2024-10-14,49526.0,94,300.01,10,54910.43798029712,[9.8114948]
2024-10-15,52499.0,95,300.58,10,55444.945363777566,[5.36808627]
2024-10-16,50857.0,91,301.1,10,56990.22738315862,[11.17593494]
2024-10-17,50754.0,94,299.49,10,54910.43798029712,[7.5738396]
2024-10-18,52482.0,95,299.76,10,54750.122024495955,[4.13296012]
2024-10-19,49551.0,93,298.89,10,53965.07963238294,[8.04331288]
2024-10-20,49859.5,96,299.05,10,53965.07963238294,[7.48116579]
2024-10-21,52488.5,97,299.18,10,53725.703501196804,[2.25442577]
2024-10-22,49824.5,94,299.6,10,54910.43798029712,[9.26756966]
2024-10-23,47178.5,95,299.25,10,54750.122024495955,[13.79697015]
2024-10-24,51080.0,95,299.63,10,54750.122024495955,[6.68767721]
2024-10-25,52708.5,93,299.65,10,54910.43798029712,[4.0123599]
2024-10-26,51499.0,86,300.36,10,55486.69374585942,[7.26635474]
2024-10-27,52372.5,82,301.3,10,57881.69062624213,[10.03881842]
2024-10-28,53475.0,91,299.55,10,54910.43798029712,[2.6156476]
2024-10-29,53714.0,95,299.61,10,54750.122024495955,[1.88801615]
2024-10-30,52365.0,94,299.39,10,54910.43798029712,[4.63828381]
2024-10-31,52615.0,92,299.5,10,54910.43798029712,[4.18273511]
2024-11-01,53098.0,88,300.31,11,54430.19228188371,[2.42751383]
2024-11-02,45950.5,94,299.79,11,53211.40400027857,[13.23078139]
2024-11-03,44133.5,82,298.89,11,48332.49813995892,[7.65139251]
2024-11-04,50837.0,85,299.3,11,53211.40400027857,[4.32662658]
2024-11-05,51043.0,85,299.35,11,53211.40400027857,[3.95125446]
2024-11-06,48916.0,87,299.0,11,52295.29684786526,[6.15773709]
2024-11-07,47838.0,84,299.35,11,52085.110336831705,[7.7390623]
2024-11-08,47469.0,82,299.33,11,49626.247566339065,[3.93092526]
2024-11-09,45432.0,85,299.23,11,53211.40400027857,[14.17558939]
2024-11-10,43135.0,85,298.03,11,47255.32714135475,[7.50803862]
2024-11-11,46627.0,79,298.21,11,46359.51462712586,[-0.48741045]
2024-11-12,50113.0,84,298.37,11,48942.167471090936,[-2.13348493]
2024-11-13,51184.0,85,299.19,11,51824.19004036319,[1.16655095]
2024-11-14,53847.0,84,300.28,11,54430.19228188371,[1.06268993]
2024-11-15,54021.0,95,299.45,11,53056.048526791215,[-1.75832954]
2024-11-16,52698.0,93,300.2,11,53211.40400027857,[0.93552209]
2024-11-17,52301.0,92,300.23,11,53211.40400027857,[1.65893342]
2024-11-18,50675.0,96,299.2,11,52648.42078029171,[3.59595705]
2024-11-19,50965.0,85,298.45,11,48942.167471090936,[-3.68599488]
2024-11-20,50976.0,86,298.59,11,51646.04273355721,[1.22094837]
2024-11-21,47427.0,82,298.79,11,48332.49813995892,[1.64999399]
2024-11-22,48676.0,81,298.53,11,48942.167471090936,[0.48500898]
2024-11-23,46990.0,81,298.6,11,48149.74110701644,[2.11327419]
2024-11-24,46557.0,85,298.82,11,51824.19004036319,[9.59784621]
2024-11-25,52659.0,85,299.22,11,53211.40400027857,[1.00658769]
2024-11-26,51637.0,85,299.48,11,53211.40400027857,[2.86887076]
2024-11-27,50315.0,84,299.17,11,50727.25869731083,[0.75121565]
2024-11-28,46854.0,78,298.3,11,46038.33805835949,[-1.48629493]
2024-11-29,41719.0,75,296.7,11,44326.819817348136,[4.75195567]
2024-11-30,37486.0,80,294.73,11,39803.36458526338,[4.22268966]
2024-12-01,38682.0,82,294.98,12,41710.577081174626,[5.51865736]
2024-12-02,41507.0,87,295.51,12,41343.72543248829,[-0.29751807]
2024-12-03,42195.0,84,296.99,12,45879.11345007255,[6.71317231]
2024-12-04,45414.0,88,297.64,12,47190.0983957384,[3.23639723]
2024-12-05,42461.0,87,297.94,12,47190.0983957384,[8.61733843]
2024-12-06,43276.0,85,297.51,12,47255.32714135475,[7.25110916]
2024-12-07,45905.0,89,297.56,12,47190.0983957384,[2.34169959]
2024-12-08,47615.0,83,299.53,12,49287.58321202535,[3.0477724]
2024-12-09,44889.0,85,297.35,12,47491.24435526479,[4.74179609]
2024-12-10,41430.0,85,296.79,12,45879.11345007255,[8.10715132]
2024-12-11,44942.0,80,297.62,12,47457.202416009604,[4.58318872]
2024-12-12,46150.0,78,299.19,12,46610.93598198591,[0.83991514]
2024-12-13,47705.0,83,299.43,12,49812.23520976583,[3.83979301]
2024-12-14,41188.0,87,298.22,12,49387.075307597006,[14.94031225]
2024-12-15,35181.0,72,296.24,12,43778.60659154534,[15.66651388]
2024-12-16,37121.0,68,296.58,12,43778.60659154534,[12.131456]
2024-12-17,36843.0,77,294.96,12,41394.30547078123,[8.29336509]
2024-12-18,36017.0,77,295.55,12,41394.30547078123,[9.79849798]
2024-12-19,36020.0,80,295.2,12,41710.577081174626,[10.36933987]
2024-12-20,33803.0,77,293.5,12,40366.57848915924,[11.96011848]
2024-12-21,32985.0,88,293.12,12,39221.542711612004,[11.36419559]
2024-12-22,32325.0,78,293.63,12,40366.57848915924,[14.65332237]
2024-12-23,32626.0,81,292.4,12,39569.56378269985,[12.6525257]
2024-12-24,33347.0,74,294.43,12,40366.57848915924,[12.7910393]
2024-12-25,36573.0,79,294.87,12,42771.6940042794,[11.29522788]
2024-12-26,35414.0,68,296.37,12,43778.60659154534,[15.24194249]
2024-12-27,42187.0,81,297.63,12,47457.202416009604,[9.60333535]
2024-12-28,39560.0,79,298.01,12,47457.202416009604,[14.39024104]
2024-12-29,34958.0,72,296.37,12,43778.60659154534,[16.07286332]
2024-12-30,37831.0,90,294.78,12,39453.2871961889,[2.95612327]
2024-12-31,32511.0,82,294.0,12,40986.0777716112,[15.4432425]
2025-01-01,32258.0,80,294.57,1,36056.2860825243,[6.92121708]
2025-01-02,36542.0,85,293.44,1,38515.23285782253,[3.59561462]
2025-01-03,35854.0,73,294.67,1,34766.074822363815,[-1.98241158]
2025-01-04,34458.0,78,294.91,1,41394.30547078123,[12.63929964]
2025-01-05,33256.0,69,294.33,1,34766.074822363815,[2.75165046]
2025-01-06,32853.0,74,292.66,1,37295.682288608084,[8.09543249]
2025-01-07,32767.0,90,292.4,1,38766.7799329168,[10.93276769]
2025-01-08,34137.0,88,293.87,1,38766.7799329168,[8.43636084]
2025-01-09,33671.0,88,295.1,1,42124.66759346271,[15.40422899]
2025-01-10,35804.0,74,295.64,1,42611.065813359,[12.40379981]
2025-01-11,32421.0,77,294.08,1,37295.682288608084,[8.88262064]
2025-01-12,25740.0,72,291.63,1,37295.682288608084,[21.05670398]
2025-01-13,25528.0,75,290.21,1,37295.682288608084,[21.44300928]
2025-01-14,28237.0,77,290.77,1,37295.682288608084,[16.50668361]
2025-01-15,31854.0,60,292.27,1,37295.682288608084,[9.91580508]
2025-01-16,30363.0,71,296.78,1,42147.85217953146,[21.47429616]
2025-01-17,32303.0,76,294.5,1,34766.074822363815,[4.48820209]
2025-01-18,31547.0,75,292.96,1,37295.682288608084,[10.47521888]
2025-01-19,30132.0,89,292.36,1,38766.7799329168,[15.73425095]
2025-01-20,32191.0,88,292.7,1,38766.7799329168,[11.98235189]
2025-01-21,32323.0,91,292.95,1,38766.7799329168,[11.74182218]
2025-01-22,33719.0,94,293.29,1,38766.7799329168,[9.19803826]
2025-01-23,34266.0,95,294.01,1,38766.7799329168,[8.20129771]
2025-01-24,36722.0,93,294.1,1,38766.7799329168,[3.72598733]
2025-01-25,39108.0,93,294.74,1,36137.39417180663,[-5.41302244]
2025-01-26,43326.0,96,295.9,1,46225.19593774955,[5.28289971]
2025-01-27,35955.0,67,295.75,1,39918.00641795735,[7.22136962]
2025-01-28,32014.0,70,294.75,1,34766.074822363815,[5.01481638]
2025-01-29,32682.0,74,294.06,1,37295.682288608084,[8.4070278]
2025-01-30,33500.0,95,292.85,1,38766.7799329168,[9.59709892]
2025-01-31,35233.0,96,293.07,1,38766.7799329168,[6.43923536]
2025-02-01,35875.0,94,294.71,2,40198.52084502513,[7.87829713]
2025-02-02,40388.0,97,295.42,2,42124.66759346271,[3.16454663]
2025-02-03,49501.0,97,296.9,2,46392.56865331575,[-5.66416738]
2025-02-04,44507.0,98,298.43,2,48969.89987740913,[8.13227287]
2025-02-05,44170.0,88,297.26,2,47326.684594611885,[5.7520942]
2025-02-06,44750.0,98,297.34,2,47326.684594611885,[4.69522123]
2025-02-07,46809.0,97,297.38,2,47326.684594611885,[0.94332217]
2025-02-08,40780.0,96,298.66,2,51047.57276034439,[18.70951752]
2025-02-09,34148.0,73,295.54,2,42611.065813359,[15.42135437]
2025-02-10,37923.0,77,294.4,2,40366.57848915924,[4.45267598]
2025-02-11,39515.0,67,294.37,2,40366.57848915924,[1.55174188]
2025-02-12,38967.0,90,295.54,2,42124.66759346271,[5.75388542]
2025-02-13,45131.0,92,296.73,2,46392.56865331575,[2.29882382]
2025-02-14,50299.0,94,298.42,2,48421.41552534346,[-3.42132463]
2025-02-15,44827.0,98,298.38,2,48969.89987740913,[7.54917054]
2025-02-16,45724.0,92,297.99,2,47091.58484675863,[2.49200597]
2025-02-17,52692.0,92,299.65,2,50128.33516822418,[-4.67149668]
2025-02-18,50712.0,90,299.78,2,50128.33516822418,[-1.06355101]
2025-02-19,50000.0,94,298.96,2,51405.08312590783,[2.56033514]
2025-02-20,49718.0,94,298.68,2,51047.57276034439,[2.42274055]
2025-02-21,50206.0,94,299.84,2,52746.39613908257,[4.62909659]
2025-02-22,47632.0,96,299.04,2,51405.08312590783,[6.87529239]
2025-02-23,49500.0,91,298.95,2,50050.012343966126,[1.00222962]
2025-02-24,47496.0,91,298.36,2,48421.41552534346,[1.68628734]
2025-02-25,39602.0,87,296.98,2,46392.56865331575,[12.37373877]
2025-02-26,40550.0,84,296.08,2,45778.99130941072,[9.52824069]
2025-02-27,48390.0,88,297.67,2,47091.58484675863,[-2.36596532]
2025-02-28,53064.0,87,299.7,2,50128.33516822418,[-5.34935314]
2025-03-01,52680.0,90,299.95,3,53359.09321064199,[1.23744011]
2025-03-02,52420.0,90,300.23,3,51528.77457196784,[-1.62398633]
2025-03-03,54702.0,87,300.63,3,54481.28769797122,[-0.40218081]
